filename,width,height,classname,xmin,ymin,xmax,ymax
0003bd09d0f89867eeb05a17c9b94a7c.jpg,344,384,camera,43,92,113,163
0003bd09d0f89867eeb05a17c9b94a7c.jpg,344,384,chair,124,246,181,307
0003bd09d0f89867eeb05a17c9b94a7c.jpg,344,384,chair,88,350,111,377
0003bd09d0f89867eeb05a17c9b94a7c.jpg,344,384,swimming_ring,61,350,85,377
0003bd09d0f89867eeb05a17c9b94a7c.jpg,344,384,swimming_ring,12,210,61,266
0003bd09d0f89867eeb05a17c9b94a7c.jpg,344,384,apple,232,192,289,244
0003bd09d0f89867eeb05a17c9b94a7c.jpg,344,384,scraper,151,72,223,150
0003bd09d0f89867eeb05a17c9b94a7c.jpg,344,384,scraper,33,352,58,376
0003bd09d0f89867eeb05a17c9b94a7c.jpg,344,384,cross,9,351,29,377
0003bd09d0f89867eeb05a17c9b94a7c.jpg,344,384,cross,268,31,314,80
003cc3118c5fcdc74eb8a098585bd9a8.jpg,344,384,ship,33,188,85,248
003cc3118c5fcdc74eb8a098585bd9a8.jpg,344,384,ship,89,351,113,376
003cc3118c5fcdc74eb8a098585bd9a8.jpg,344,384,flag,210,211,269,275
003cc3118c5fcdc74eb8a098585bd9a8.jpg,344,384,scraper,248,116,312,178
003cc3118c5fcdc74eb8a098585bd9a8.jpg,344,384,scraper,60,349,85,376
003cc3118c5fcdc74eb8a098585bd9a8.jpg,344,384,sparrow,32,352,57,375
003cc3118c5fcdc74eb8a098585bd9a8.jpg,344,384,sparrow,120,53,178,119
003cc3118c5fcdc74eb8a098585bd9a8.jpg,344,384,frock,260,4,335,77
003cc3118c5fcdc74eb8a098585bd9a8.jpg,344,384,frock,7,351,30,378
004197c5056e0bccee63d2fb05c7a36c.jpg,344,384,telephone,11,180,78,247
004197c5056e0bccee63d2fb05c7a36c.jpg,344,384,telephone,8,348,30,377
004197c5056e0bccee63d2fb05c7a36c.jpg,344,384,hammer,32,351,58,375
004197c5056e0bccee63d2fb05c7a36c.jpg,344,384,hammer,74,67,137,135
004197c5056e0bccee63d2fb05c7a36c.jpg,344,384,tablet,246,99,305,163
004197c5056e0bccee63d2fb05c7a36c.jpg,344,384,disket,184,261,260,338
004197c5056e0bccee63d2fb05c7a36c.jpg,344,384,disket,87,351,112,376
004197c5056e0bccee63d2fb05c7a36c.jpg,344,384,charry,61,349,84,379
004197c5056e0bccee63d2fb05c7a36c.jpg,344,384,charry,211,6,282,67
004e12a7435eb1d9d411a2db5c150abf.jpg,344,384,usb,7,32,73,97
004e12a7435eb1d9d411a2db5c150abf.jpg,344,384,saucepan,103,173,168,249
004e12a7435eb1d9d411a2db5c150abf.jpg,344,384,camera,242,251,322,324
004e12a7435eb1d9d411a2db5c150abf.jpg,344,384,camera,32,350,59,377
004e12a7435eb1d9d411a2db5c150abf.jpg,344,384,racket,6,350,29,376
004e12a7435eb1d9d411a2db5c150abf.jpg,344,384,racket,257,116,310,180
004e12a7435eb1d9d411a2db5c150abf.jpg,344,384,socks,116,37,183,84
004e12a7435eb1d9d411a2db5c150abf.jpg,344,384,socks,88,352,109,377
004e12a7435eb1d9d411a2db5c150abf.jpg,344,384,usb,59,350,85,377
00a31f574d9e9c71d6c908c9c7d04e70.jpg,344,384,watermelon,276,123,333,194
00a31f574d9e9c71d6c908c9c7d04e70.jpg,344,384,watermelon,33,352,58,376
00a31f574d9e9c71d6c908c9c7d04e70.jpg,344,384,cloud_with_lightning,254,12,322,79
00a31f574d9e9c71d6c908c9c7d04e70.jpg,344,384,cloud_with_lightning,84,351,113,376
00a31f574d9e9c71d6c908c9c7d04e70.jpg,344,384,pool,41,60,107,127
00a31f574d9e9c71d6c908c9c7d04e70.jpg,344,384,pool,62,354,84,376
00a31f574d9e9c71d6c908c9c7d04e70.jpg,344,384,scooty,104,164,176,234
00a31f574d9e9c71d6c908c9c7d04e70.jpg,344,384,scooty,6,352,32,377
00a31f574d9e9c71d6c908c9c7d04e70.jpg,344,384,umbrella,191,264,256,317
